Context-free multilanguages,1991-12-01T00:00:00Z,Donald E. Knuth,Donald E. Knuth,cs.DS,"This article is a sketch of ideas that were once intended to appear in the author's famous series, ""The Art of Computer Programming"". He generalizes the notion of a context-free language from a set to a multiset of words over an alphabet. The idea is to keep track of the number of ways to parse a string. For example, ""fruit flies like a banana"" can famously be parsed in two ways; analogous examples in the setting of programming languages may yet be important in the future.   The treatment is informal but essentially rigorous."
Shellsort with three increments,1996-08-22T00:00:00Z,Donald E. Knuth,"Svante Janson, Donald E. Knuth",cs.DS,"A perturbation technique can be used to simplify and sharpen A. C. Yao's theorems about the behavior of shellsort with increments $(h,g,1)$. In particular, when $h=\Theta(n^{7/15})$ and $g=\Theta(h^{1/5})$, the average running time is $O(n^{23/15})$. The proof involves interesting properties of the inversions in random permutations that have been $h$-sorted and $g$-sorted."
Linear probing and graphs,1998-01-15T00:00:00Z,Donald E. Knuth,Donald E. Knuth,cs.DS,"Mallows and Riordan showed in 1968 that labeled trees with a small number of inversions are related to labeled graphs that are connected and sparse. Wright enumerated sparse connected graphs in 1977, and Kreweras related the inversions of trees to the so-called ``parking problem'' in 1980. A~combination of these three results leads to a surprisingly simple analysis of the behavior of hashing by linear probing, including higher moments of the cost of successful search."
A Fully Polynomial Randomized Approximation Scheme for the All Terminal   Network Reliability Problem,1998-09-09T02:38:56Z,David R. Karger,David R. Karger,cs.DS,"The classic all-terminal network reliability problem posits a graph, each of whose edges fails independently with some given probability."
Minimum Cuts in Near-Linear Time,1998-12-08T21:29:20Z,David R. Karger,David R. Karger,cs.DS,"We significantly improve known time bounds for solving the minimum cut problem on undirected graphs. We use a ``semi-duality'' between minimum cuts and maximum spanning tree packings combined with our previously developed random sampling techniques. We give a randomized algorithm that finds a minimum cut in an m-edge, n-vertex graph with high probability in O(m log^3 n) time. We also give a simpler randomized algorithm that finds all minimum cuts with high probability in O(n^2 log n) time. This variant has an optimal RNC parallelization. Both variants improve on the previous best time bound of O(n^2 log^3 n). Other applications of the tree-packing approach are new, nearly tight bounds on the number of near minimum cuts a graph may have and a new data structure for representing them in a space-efficient manner."
Approximate Graph Coloring by Semidefinite Programming,1998-12-08T22:03:36Z,Madhu Sudan,"David Karger, Rajeev Motwani, Madhu Sudan",cs.DS,"We consider the problem of coloring k-colorable graphs with the fewest possible colors. We present a randomized polynomial time algorithm that colors a 3-colorable graph on $n$ vertices with min O(Delta^{1/3} log^{1/2} Delta log n), O(n^{1/4} log^{1/2} n) colors where Delta is the maximum degree of any vertex. Besides giving the best known approximation ratio in terms of n, this marks the first non-trivial approximation result as a function of the maximum degree Delta. This result can be generalized to k-colorable graphs to obtain a coloring using min O(Delta^{1-2/k} log^{1/2} Delta log n), O(n^{1-3/(k+1)} log^{1/2} n) colors. Our results are inspired by the recent work of Goemans and Williamson who used an algorithm for semidefinite optimization problems, which generalize linear programs, to obtain improved approximations for the MAX CUT and MAX 2-SAT problems. An intriguing outcome of our work is a duality relationship established between the value of the optimum solution to our semidefinite program and the Lovasz theta-function. We show lower bounds on the gap between the optimum solution of our semidefinite program and the actual chromatic number; by duality this also demonstrates interesting new facts about the theta-function."
A class of problems of NP to be worth to search an efficient solving   algorithm,1999-03-11T19:36:05Z,Anatoly D. Plotnikov,Anatoly D. Plotnikov,cs.DS,"We examine possibility to design an efficient solving algorithm for problems of the class \np. It is introduced a classification of \np problems by the property that a partial solution of size $k$ can be extended into a partial solution of size $k+1$ in polynomial time. It is defined an unique class problems to be worth to search an efficient solving algorithm. The problems, which are outside of this class, are inherently exponential. We show that the Hamiltonian cycle problem is inherently exponential."
Reconstructing hv-Convex Polyominoes from Orthogonal Projections,1999-06-22T09:56:53Z,Marek Chrobak,"Christoph Durr, Marek Chrobak",cs.DS,"Tomography is the area of reconstructing objects from projections. Here we wish to reconstruct a set of cells in a two dimensional grid, given the number of cells in every row and column. The set is required to be an hv-convex polyomino, that is all its cells must be connected and the cells in every row and column must be consecutive. A simple, polynomial algorithm for reconstructing hv-convex polyominoes is provided, which is several orders of magnitudes faster than the best previously known algorithm from Barcucci et al. In addition, the problem of reconstructing a special class of centered hv-convex polyominoes is addressed. (An object is centered if it contains a row whose length equals the total width of the object). It is shown that in this case the reconstruction problem can be solved in linear time."
Subgraph Isomorphism in Planar Graphs and Related Problems,1999-11-09T18:58:58Z,David Eppstein,David Eppstein,cs.DS,"We solve the subgraph isomorphism problem in planar graphs in linear time, for any pattern of constant size. Our results are based on a technique of partitioning the planar graph into pieces of small tree-width, and applying dynamic programming within each piece. The same methods can be used to solve other planar graph problems including connectivity, diameter, girth, induced subgraph isomorphism, and shortest paths."
Fast Hierarchical Clustering and Other Applications of Dynamic Closest   Pairs,1999-12-22T01:42:51Z,David Eppstein,David Eppstein,cs.DS,"We develop data structures for dynamic closest pair problems with arbitrary distance functions, that do not necessarily come from any geometric structure on the objects. Based on a technique previously used by the author for Euclidean closest pairs, we show how to insert and delete objects from an n-object set, maintaining the closest pair, in O(n log^2 n) time per update and O(n) space. With quadratic space, we can instead use a quadtree-like structure to achieve an optimal time bound, O(n) per update. We apply these data structures to hierarchical clustering, greedy matching, and TSP heuristics, and discuss other potential applications in machine learning, Groebner bases, and local improvement algorithms for partition and placement problems. Experiments show our new methods to be faster in practice than previously used heuristics."
